2026-06-23 16:32:37.467 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 완료 - absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, 유효 스케쥴 건수: 2
2026-06-23 16:33:37.469 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 시작 - filePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf
2026-06-23 16:33:37.473 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 완료 - absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, 유효 스케쥴 건수: 2
2026-06-23 16:33:37.474 [scheduling-1] INFO  NotifyScheduler - [[[주기 통보 실행 결정]]] - schedule: 주기|1-5|000501|2|230501, 495번째 실행, slotTime: 2026-06-23T16:33:01
2026-06-23 16:34:37.489 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 시작 - filePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf
2026-06-23 16:34:37.493 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 완료 - absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, 유효 스케쥴 건수: 2
2026-06-23 16:35:37.496 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 시작 - filePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf
2026-06-23 16:35:37.500 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 완료 - absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, 유효 스케쥴 건수: 2
2026-06-23 16:35:37.501 [scheduling-1] INFO  NotifyScheduler - [[[주기 통보 실행 결정]]] - schedule: 주기|1-5|000501|2|230501, 496번째 실행, slotTime: 2026-06-23T16:35:01
2026-06-23 16:36:37.515 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 시작 - filePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf
2026-06-23 16:36:37.520 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 완료 - absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, 유효 스케쥴 건수: 2
2026-06-23 16:37:37.522 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 시작 - filePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf
2026-06-23 16:37:37.524 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 완료 - absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, 유효 스케쥴 건수: 2
2026-06-23 16:37:37.525 [scheduling-1] INFO  NotifyScheduler - [[[주기 통보 실행 결정]]] - schedule: 주기|1-5|000501|2|230501, 497번째 실행, slotTime: 2026-06-23T16:37:01
2026-06-23 16:38:37.534 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 시작 - filePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf
2026-06-23 16:38:37.539 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 완료 - absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, 유효 스케쥴 건수: 2
2026-06-23 16:39:37.541 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 시작 - filePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf
2026-06-23 16:39:37.545 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 완료 - absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, 유효 스케쥴 건수: 2
2026-06-23 16:39:37.546 [scheduling-1] INFO  NotifyScheduler - [[[주기 통보 실행 결정]]] - schedule: 주기|1-5|000501|2|230501, 498번째 실행, slotTime: 2026-06-23T16:39:01
